x,y
640,-72
641,-72
642,-73
643,-73
644,-71
645,-71
646,-72
647,-71
648,-70
649,-73
650,-71
651,-72
652,-72
653,-71
654,-71
655,-70
656,-70
657,-72
658,-73
659,-71
660,-71
661,-71
662,-73
663,-72
664,-71
665,-71
666,-73
667,-72
668,-72
669,-74
670,-72
671,-72
672,-72
673,-71
674,-72
675,-73
676,-73
677,-72
678,-72
679,-72
680,-72
681,-71
682,-71
683,-71
684,-71
685,-72
686,-71
687,-72
688,-74
689,-71
690,-71
691,-71
692,-71
693,-72
694,-75
695,-73
696,-72
697,-72
698,-72
699,-73
700,-72
701,-72
702,-74
703,-72
704,-72
705,-72
706,-72
707,-73
708,-72
709,-72
710,-72
711,-73
712,-73
713,-75
714,-72
715,-72
716,-72
717,-72
718,-72
719,-73
720,-73
721,-73
722,-74
723,-75
724,-73
725,-72
726,-72
727,-72
728,-74
729,-74
730,-75
731,-73
732,-72
733,-72
734,-74
735,-72
736,-74
737,-75
738,-74
739,-72
740,-72
741,-74
742,-72
743,-74
744,-72
745,-73
746,-75
747,-74
748,-72
749,-72
750,-74
751,-75
752,-75
753,-72
754,-72
755,-75
756,-73
757,-73
758,-73
759,-73
760,-73
761,-73
762,-75
763,-72
764,-75
765,-74
766,-74
767,-74
768,-74
769,-72
770,-73
771,-75
772,-76
773,-73
774,-73
775,-74
776,-73
777,-72
778,-75
779,-75
780,-79
781,-73
782,-74
783,-74
784,-73
785,-74
786,-72
787,-74
788,-75
789,-72
790,-72
791,-72
792,-76
793,-73
794,-72
795,-72
796,-72
797,-75
798,-72
799,-75
800,-75
801,-73
802,-74
803,-75
804,-72
805,-75
806,-72
807,-74
808,-73
809,-74
810,-76
811,-75
812,-76
813,-72
814,-74
815,-75
816,-74
817,-72
818,-72
819,-75
820,-74
821,-74
822,-74
823,-74
824,-75
825,-75
826,-75
827,-73
828,-74
829,-73
830,-73
831,-73
832,-73
833,-73
834,-75
835,-75
836,-75
837,-73
838,-74
839,-74
840,-74
841,-75
842,-74
843,-73
844,-73
845,-73
846,-74
847,-73
